L(T-24),L(T)
5551.82208,4931.2638
4983.17184,4775.53968
4888.3968,4713.8112
5072.95872,4689.02628
5196.2598,4844.7504
5641.2972,5571.46296
7153.17732,6150.71304
7849.80504,6296.30496
6329.97504,6515.16048
6292.8756,6269.64948
5349.8016,5607.0036
5225.40936,5932.7928
5000.47452,5675.5908
4775.53968,5675.27904
6177.05676,5435.5356
6177.05676,5572.71
6155.7012,6023.2032
6212.12976,6110.496
7424.25264,7951.75056
7407.4176,8013.0114
7068.22272,7591.82364
6515.784,7088.17536
6350.08356,6477.12576
5502.25224,5848.6176
4931.2638,5460.4764
4775.53968,5097.89952
4713.8112,5062.9824
4689.02628,5080.44096
4844.7504,5324.8608
5571.46296,5970.82752
6150.71304,6477.12576
6296.30496,6635.8116
6515.16048,6635.8116
6269.64948,6371.595
5607.0036,6303.63132
5932.7928,6447.1968
5675.5908,6104.2608
5675.27904,5778.4716
5435.5356,5865.60852
5572.71,5847.0588
6023.2032,6104.2608
6110.496,6704.3988
7951.75056,7510.2984
8013.0114,7995.0852
7591.82364,7641.2376
7088.17536,5918.45184
6477.12576,6394.04172
5848.6176,5813.70048
5460.4764,5619.00636
5097.89952,5384.40696
5062.9824,5052.38256
5080.44096,5277.3174
5324.8608,5709.8844
5970.82752,6481.4904
6477.12576,7272.73728
6635.8116,7390.2708
6635.8116,7192.92672
6371.595,6412.9032
6303.63132,6464.3436
6447.1968,6395.7564
6104.2608,4903.9848
5778.4716,6292.8756
5865.60852,6052.8204
5847.0588,6052.8204
6104.2608,6121.4076
6704.3988,6052.8204
7510.2984,8110.4364
7995.0852,8196.1704
7641.2376,8045.7462
5918.45184,7786.206
6394.04172,6746.33052
5813.70048,5935.9104
5619.00636,5447.07072
5384.40696,4713.8112
5052.38256,5002.50096
5277.3174,5037.72984
5709.8844,5865.60852
6481.4904,5984.2332
7272.73728,7474.75776
7390.2708,7205.39712
7192.92672,6548.83056
6412.9032,6001.38
6464.3436,6310.0224
6395.7564,5864.2056
4903.9848,6031.7766
6292.8756,4764.31632
6052.8204,4730.64624
6052.8204,5774.41872
6121.4076,6228.9648
6052.8204,6464.65536
8110.4364,7518.0924
8196.1704,8013.7908
8045.7462,6366.9186
7786.206,6824.11464
6746.33052,5915.33424
5935.9104,5900.21388
5447.07072,5761.3248
4713.8112,5726.40768
5002.50096,6024.13848
5037.72984,6599.33568
5865.60852,5534.36352
5984.2332,6267.62304
7474.75776,7482.520584
7205.39712,5895.319248
6548.83056,6429.613536
6001.38,6094.28448
6310.0224,5709.8844
5864.2056,5912.84016
6031.7766,6001.38
4764.31632,5799.484224
4730.64624,5851.11168
5774.41872,6040.412352
6228.9648,7479.20034
6464.65536,7373.124
7518.0924,7630.326
8013.7908,7476.0048
6366.9186,6660.44064
6824.11464,6082.74936
5915.33424,6292.56384
5900.21388,6847.8084
5761.3248,5636.6208
5726.40768,5307.40224
6024.13848,5242.71204
6599.33568,5260.01472
5534.36352,5829.912
6267.62304,6930.4248
7482.520584,7897.03668
5895.319248,7584.18552
6429.613536,4847.24448
6094.28448,5933.41632
5709.8844,6014.47392
5912.84016,5898.4992
6001.38,6138.5544
5799.484224,6001.38
5851.11168,5744.48976
6040.412352,5709.8844
7479.20034,6073.24068
7373.124,6807.2796
7630.326,7818.9408
7476.0048,7870.3812
6660.44064,7716.99528
6082.74936,7094.0988
6292.56384,6384.68892
6847.8084,5640.67368
5636.6208,5346.52812
5307.40224,5138.89596
5242.71204,4940.77248
5260.01472,4766.18688
5829.912,5020.1154
6930.4248,5588.76564
7897.03668,6436.59696
7584.18552,6978.7476
4847.24448,6643.44972
5933.41632,3907.9116
6014.47392,7154.892
5898.4992,6498.32544
6138.5544,6414.15024
6001.38,7272.11376
5744.48976,8264.7576
5709.8844,8058.996
6073.24068,7751.60064
6807.2796,7267.1256
7818.9408,6523.11036
7870.3812,5761.79244
7716.99528,5363.8308
7094.0988,5104.2906
6384.68892,4993.14816
5640.67368,5202.65088
5346.52812,5761.3248
5138.89596,5988.28608
4940.77248,6197.7888
4766.18688,6424.75008
5020.1154,6644.22912
5588.76564,6626.4588
6436.59696,6847.34076
6978.7476,6354.60408
6643.44972,6354.60408
3907.9116,6150.71304
7154.892,5827.88556
6498.32544,5929.83108
6414.15024,6127.95456
7272.11376,6843.75552
8264.7576,8063.04888
8058.996,8063.04888
7751.60064,8063.04888
7267.1256,6955.67736
6523.11036,6687.252
5761.79244,5709.8844
5363.8308,5554.16028
5104.2906,5450.3442
4993.14816,5294.62008
5202.65088,5208.10668
5761.3248,5260.01472
5988.28608,5420.88288
6197.7888,6094.28448
6424.75008,6683.51088
6644.22912,6717.18096
6626.4588,6750.85104
6847.34076,6835.02624
6354.60408,6919.20144
6354.60408,6700.34592
6150.71304,6447.82032
5827.88556,6422.56776
5929.83108,6456.5496
6127.95456,6354.60408
6843.75552,6473.54052
8063.04888,7051.2318
8063.04888,8546.43276
8063.04888,8393.51448
6955.67736,8291.56896
6687.252,7170.16824
5709.8844,7526.97756
5554.16028,3381.19308
5450.3442,5415.73884
5294.62008,5277.3174
5208.10668,6288.35508
5260.01472,5865.60852
5420.88288,6099.74028
6094.28448,6065.75844
6683.51088,6082.74936
6717.18096,6966.2772
6750.85104,6439.55868
6835.02624,6473.54052
6919.20144,6430.98528
6700.34592,6750.85104
6447.82032,6584.3712
6422.56776,6464.3436
6456.5496,6412.9032
6354.60408,6303.63132
6473.54052,6652.9584
7051.2318,7306.0956
8546.43276,8529.44184
8393.51448,8648.37828
8291.56896,8648.37828
7170.16824,7645.914
7526.97756,7255.12284
3381.19308,6327.1692
5415.73884,5970.82752
5277.3174,5796.24192
6288.35508,5484.94956
5865.60852,5707.07856
6099.74028,5865.60852
6065.75844,6116.7312
6082.74936,6807.2796
6966.2772,8024.7024
6439.55868,6807.2796
6473.54052,6670.1052
6430.98528,6779.37708
6750.85104,6738.6924
6584.3712,6721.5456
6464.3436,6515.784
6412.9032,6052.8204
6303.63132,6350.08356
6652.9584,6592.32108
7306.0956,7115.922
8529.44184,8179.0236
8648.37828,8218.773
8648.37828,7832.81412
7645.914,7747.85952
7255.12284,8410.5054
6327.1692,6167.70396
5970.82752,5522.049
5796.24192,5242.71204
5484.94956,5126.8932
5707.07856,5478.09084
5865.60852,5757.58368
6116.7312,6145.41312
6807.2796,7076.79612
8024.7024,7272.11376
6807.2796,7679.89584
6670.1052,7272.73728
6779.37708,6801.35616
6738.6924,6750.85104
6721.5456,6144.7896
6515.784,6127.95456
6052.8204,6133.72212
6350.08356,6082.74936
6592.32108,6762.38616
7115.922,7051.2318
8179.0236,8257.89888
8218.773,8374.49712
7832.81412,8144.73
7747.85952,7218.8028
8410.5054,6921.072
6167.70396,6678.83448
5522.049,6182.66844
5242.71204,5846.43528
5126.8932,5757.58368
5478.09084,5722.04304
5757.58368,5988.59784
6145.41312,6378.6096
7076.79612,7767.5004
7272.11376,7613.1792
7679.89584,6700.34592
7272.73728,6851.86128
6801.35616,6952.87152
6750.85104,6902.3664
6144.7896,6835.02624
6127.95456,6643.44972
6133.72212,6439.55868
6082.74936,6412.9032
6762.38616,6601.518
7051.2318,7094.0988
8257.89888,8357.19444
8374.49712,8097.65424
8144.73,7558.93296
7218.8028,7323.08652
6921.072,6796.368
6678.83448,5433.04152
6182.66844,6232.70592
5846.43528,5778.78336
5757.58368,5604.19776
5722.04304,5918.45184
5988.59784,6127.95456
6378.6096,7611.93216
7767.5004,7629.39072
7613.1792,7769.0592
6700.34592,6531.99552
6851.86128,6885.53136
6952.87152,6296.30496
6902.3664,6784.52112
6835.02624,6818.1912
6643.44972,6683.51088
6439.55868,6717.18096
6412.9032,6813.35892
6601.518,6745.39524
7094.0988,7390.2708
8357.19444,8602.70544
8097.65424,8624.8404
7558.93296,8504.8128
7323.08652,8189.62344
6796.368,7832.81412
5433.04152,7085.21364
6232.70592,5467.64688
5778.78336,5329.22544
5604.19776,5467.64688
5918.45184,5502.25224
6127.95456,6021.33264
7611.93216,6111.11952
7629.39072,6784.52112
7769.0592,6893.0136
6531.99552,6932.29536
6885.53136,6286.6404
6296.30496,6609.46788
6784.52112,6541.5042
6818.1912,6337.61316
6683.51088,6395.7564
6717.18096,6618.6648
6813.35892,6618.6648
6745.39524,6567.2244
7390.2708,7098.7752
8602.70544,8607.6936
8624.8404,8607.6936
8504.8128,8590.5468
8189.62344,8710.5744
7832.81412,7613.1792
7085.21364,7218.8028
5467.64688,5571.46296
5329.22544,5519.55492
5467.64688,5640.67368
5502.25224,5900.99328
6021.33264,6354.91584
6111.11952,7384.97088
6784.52112,7696.88676
6893.0136,7696.88676
6932.29536,6796.368
6286.6404,6830.34984
6609.46788,7138.05696
6541.5042,7003.37664
6337.61316,6286.6404
6395.7564,6955.67736
6618.6648,6453.89964
6618.6648,6955.67736
6567.2244,5502.25224
7098.7752,8218.773
8607.6936,8824.3668
8607.6936,8213.3172
8590.5468,8065.85472
8710.5744,7167.3624
7613.1792,6755.8392
7218.8028,6104.2608
5571.46296,5986.72728
5519.55492,5865.60852
5640.67368,5727.18708
5900.99328,5779.09512
6354.91584,5398.43616
7384.97088,6700.34592
7696.88676,7662.90492
7696.88676,7238.13192
6796.368,6439.55868
6830.34984,6644.22912
7138.05696,6626.92644
7003.37664,6730.74252
6286.6404,6584.3712
6955.67736,6626.92644
6453.89964,6592.32108
6955.67736,6263.57016
5502.25224,6258.582
8218.773,5555.5632
8824.3668,7962.97392
8213.3172,8264.7576
8065.85472,8058.996
7167.3624,7373.124
6755.8392,7064.4816
6104.2608,6755.8392
5986.72728,5467.64688
5865.60852,5294.62008
5727.18708,5237.568
5779.09512,5156.19864
5398.43616,5624.1504
6700.34592,6292.8756
7662.90492,7340.07744
7238.13192,7321.6836
6439.55868,6721.5456
6644.22912,6755.8392
6626.92644,6395.7564
6730.74252,6367.38624
6584.3712,6367.38624
6626.92644,6429.2706
6592.32108,6394.04172
6263.57016,6358.81284
6258.582,6429.2706
5555.5632,6499.72836
7962.97392,6696.13716
8264.7576,6319.99872
8058.996,5986.72728
7373.124,5623.371
7064.4816,5935.9104
6755.8392,5708.94912
5467.64688,5692.58172
5294.62008,5484.94956
5237.568,5447.07072
5156.19864,5534.36352
5624.1504,5586.7392
6292.8756,5866.07616
7340.07744,7336.33632
7321.6836,6634.2528
6721.5456,6529.50144
6755.8392,6211.66212
6395.7564,6471.20232
6367.38624,6038.63532
6367.38624,5778.78336
6429.2706,5727.18708
6394.04172,5604.19776
6358.81284,5727.18708
6429.2706,6232.70592
6499.72836,7249.82292
6696.13716,7993.83816
6319.99872,7699.6926
5986.72728,7262.76096
5623.371,6878.67264
5935.9104,6886.46664
5708.94912,6903.76932
5692.58172,5952.12192
5484.94956,5865.60852
5447.07072,5831.00316
5534.36352,6055.938
5586.7392,6194.35944
5866.07616,5675.27904
7336.33632,5761.79244
6634.2528,6779.37708
6529.50144,5793.90372
6211.66212,5827.88556
6471.20232,5759.92188
6038.63532,5726.40768
5778.78336,5604.19776
5727.18708,5726.40768
5604.19776,5691.49056
5727.18708,5324.8608
6232.70592,5656.57344
7249.82292,7315.13664
7993.83816,6927.3072
7699.6926,6851.86128
7262.76096,6546.96
6878.67264,5866.07616
6886.46664,5639.11488
6903.76932,5342.31936
5952.12192,5225.40936
5865.60852,5260.01472
5831.00316,5606.06832
6055.938,5623.371
6194.35944,5536.8576
5675.27904,5420.10348
5761.79244,6439.55868
6779.37708,6694.42248
5793.90372,6303.63132
5827.88556,4927.3668
5759.92188,4308.36732
5726.40768,4155.13728
5604.19776,5656.57344
5726.40768,5656.57344
5691.49056,3805.96608
5324.8608,5639.11488
5656.57344,5656.57344
7315.13664,6215.24736
6927.3072,5831.15904
6851.86128,6218.67672
6546.96,5827.88556
5866.07616,5488.06716
5639.11488,5311.92276
5342.31936,5086.98792
5225.40936,5062.9824
5260.01472,4808.74212
5606.06832,4614.98328
5623.371,4315.5378
5536.8576,4474.06776
5420.10348,4801.104
6439.55868,5342.31936
6694.42248,5813.70048
6303.63132,5725.94004
4927.3668,5199.22152
4308.36732,5841.75888
4155.13728,5993.27424
5656.57344,6262.63488
5656.57344,5976.4392
3805.96608,5759.92188
5639.11488,5349.8016
5656.57344,5538.4164
6215.24736,5761.3248
5831.15904,7373.74752
6218.67672,7577.95032
5827.88556,7238.13192
5488.06716,6881.3226
5311.92276,6541.5042
5086.98792,5606.06832
5062.9824,5381.13348
4808.74212,5185.19232
4614.98328,4949.65764
4315.5378,4914.42876
4474.06776,4965.86916
4801.104,5208.10668
5342.31936,6001.38
5813.70048,6936.03648
5725.94004,7070.7168
5199.22152,6771.73896
5841.75888,6204.64752
5993.27424,6144.7896
6262.63488,6178.45968
5976.4392,6018.5268
5759.92188,5932.7928
5349.8016,5812.7652
5538.4164,6320.62224
5761.3248,7509.98664
7373.74752,7929.30384
7577.95032,8325.5508
7238.13192,8384.7852
6881.3226,7373.124
6541.5042,6618.6648
5606.06832,5900.99328
5381.13348,5604.19776
5185.19232,5349.8016
4949.65764,6652.9584
4914.42876,5255.02656
4965.86916,5412.1536
5208.10668,5949.9396
6001.38,7187.15916
6936.03648,7883.78688
7070.7168,7136.1864
6771.73896,6618.6648
6204.64752,6721.5456
6144.7896,6678.83448
6178.45968,6337.61316
6018.5268,6532.9308
5932.7928,6635.8116
5812.7652,6436.59696
6320.62224,5156.19864
7509.98664,8083.31328
7929.30384,8599.43196
8325.5508,8599.43196
8384.7852,8339.89176
7373.124,7943.6448
6618.6648,7450.90812
5900.99328,6605.415
5604.19776,5704.27272
5349.8016,5544.33984
6652.9584,5633.19144
5255.02656,5671.84968
5412.1536,5830.37964
5949.9396,6411.65616
7187.15916,7734.14208
7883.78688,5250.19428
7136.1864,6550.0776
6618.6648,6635.8116
6721.5456,6824.4264
6678.83448,6824.4264
6337.61316,6601.518
6532.9308,5881.3524
6635.8116,6567.2244
6436.59696,6378.6096
5156.19864,6575.0184
8083.31328,7526.6658
8599.43196,7818.9408
8599.43196,8080.35156
8339.89176,7907.32476
7943.6448,7577.01504
7450.90812,7192.92672
6605.415,6756.46272
5704.27272,6250.16448
5544.33984,5900.8374
5633.19144,5830.37964
5671.84968,5900.8374
5830.37964,5971.29516
6411.65616,6059.36736
7734.14208,7578.8856
5250.19428,7098.7752
6550.0776,5892.264
6635.8116,6490.53144
6824.4264,6456.5496
6824.4264,5369.13072
6601.518,5131.25784
5881.3524,5058.306
6567.2244,5058.306
6378.6096,6354.60408
6575.0184,6966.2772
7526.6658,7781.84136
7818.9408,8518.53024
8080.35156,8501.6952
7907.32476,8325.5508
7577.01504,7665.08724
7192.92672,7227.84384
6756.46272,6808.8384
6250.16448,6217.89732
5900.8374,5813.70048
5830.37964,5513.31972
5900.8374,5460.4764
5971.29516,5654.23524
6059.36736,6446.88504
7578.8856,7315.13664
7098.7752,7646.84928
5892.264,6762.38616
6490.53144,6728.40432
6456.5496,6558.49512
5369.13072,5229.774
5131.25784,5058.306
5058.306,5125.80204
5058.306,5104.2906
6354.60408,4259.88864
6966.2772,3581.65476
7781.84136,4818.2508
8518.53024,3532.2408
8501.6952,8573.4
8325.5508,8053.69608
7665.08724,7664.6196
7227.84384,6995.8944
6808.8384,6481.4904
6217.89732,6110.496
5813.70048,5796.24192
5513.31972,5516.90496
5460.4764,5401.242
5654.23524,5572.71
6446.88504,6344.316
7315.13664,7525.26288
7646.84928,7323.2424
6762.38616,8053.69608
6728.40432,8087.67792
6558.49512,5165.23968
5229.774,5281.2144
5058.306,5161.1868
5125.80204,5377.23648
5104.2906,5255.02656
4259.88864,5324.8608
3581.65476,7197.91488
4818.2508,8357.19444
3532.2408,8668.64268
8573.4,8607.6936
8053.69608,8281.9044
7664.6196,7595.87652
6995.8944,7221.9204
6481.4904,6482.11392
6110.496,5953.36896
5796.24192,5761.3248
5516.90496,5830.37964
5401.242,5615.42112
5572.71,5830.37964
6344.316,6162.87168
7525.26288,7028.16156
7323.2424,7227.84384
8053.69608,6961.6008
8087.67792,6910.1604
5165.23968,8325.5508
5281.2144,6813.35892
5161.1868,8401.932
5377.23648,8487.666
5255.02656,8487.666
5324.8608,6550.0776
7197.91488,6473.54052
8357.19444,6515.784
8668.64268,8436.2256
8607.6936,8547.52392
8281.9044,7976.53548
7595.87652,8624.52864
7221.9204,7210.38528
6482.11392,6826.29696
5953.36896,6197.7888
5761.3248,5936.06628
5830.37964,5846.43528
5615.42112,6023.2032
5830.37964,5988.59784
6162.87168,6459.6672
7028.16156,7769.0592
7227.84384,7645.914
6961.6008,7543.96848
6910.1604,6745.39524
8325.5508,6813.35892
6813.35892,5555.5632
8401.932,5471.07624
8487.666,5384.0952
8487.666,5571.46296
6550.0776,5190.804
6473.54052,6995.8944
6515.784,7647.4728
8436.2256,8196.1704
8547.52392,7943.6448
7976.53548,7908.72768
8624.52864,7594.4736
7210.38528,7646.84928
6826.29696,5988.9096
6197.7888,5636.6208
5936.06628,5390.01864
5846.43528,5231.48868
6023.2032,5460.4764
5988.59784,5566.16304
6459.6672,5727.18708
7769.0592,6332.78088
7645.914,6498.6372
7543.96848,6841.5732
6745.39524,6772.986
6813.35892,6481.4904
5555.5632,6464.3436
5471.07624,6252.65856
5384.0952,6218.67672
5571.46296,5997.79476
5190.804,6048.76752
6995.8944,6048.76752
7647.4728,7574.2092
8196.1704,8049.79908
7943.6448,8208.32904
7908.72768,7996.95576
7594.4736,7627.05252
7646.84928,6781.5594
5988.9096,5830.37964
5636.6208,5597.6508
5390.01864,5491.02888
5231.48868,5366.63664
5460.4764,5548.5486
5566.16304,5795.15076
5727.18708,6430.05
6332.78088,7407.4176
6498.6372,7218.8028
6841.5732,6550.0776
6772.986,5264.0676
6481.4904,4504.30848
6464.3436,6094.908
6252.65856,6148.6866
6218.67672,5115.35808
5997.79476,3613.92192
6048.76752,5516.90496
6048.76752,5289.94368
7574.2092,8461.01052
8049.79908,8744.868
8208.32904,8754.37668
7996.95576,7803.97632
7627.05252,8153.14752
6781.5594,7070.7168
5830.37964,6127.95456
5597.6508,5377.23648
5491.02888,5255.02656
5366.63664,5377.23648
5548.5486,5412.1536
5795.15076,5464.52928
6430.05,6127.95456
7407.4176,7454.80512
7218.8028,7051.2318
6550.0776,6313.14
5264.0676,6481.4904
4504.30848,5386.12164
6094.908,5332.6548
6148.6866,5212.6272
5115.35808,3466.14768
3613.92192,5182.2306
5516.90496,6835.02624
5289.94368,7733.2068
8461.01052,8841.66948
8744.868,8807.06412
8754.37668,8484.86016
7803.97632,8135.68896
8153.14752,7158.0096
7070.7168,6337.45728
6127.95456,5883.53472
5377.23648,5569.28064
5255.02656,5481.98784
5377.23648,5691.49056
5412.1536,5918.45184
5464.52928,6581.87712
6127.95456,4451.9328
7454.80512,7509.98664
7051.2318,6851.86128
6313.14,6801.35616
6481.4904,6847.34076
5386.12164,6830.34984
5332.6548,6694.42248
5212.6272,6252.65856
3466.14768,6286.6404
5182.2306,5199.22152
6835.02624,6414.15024
7733.2068,7441.7112
8841.66948,7070.7168
8807.06412,8131.32432
8484.86016,7922.601
8135.68896,7492.99572
7158.0096,7098.7752
6337.45728,6263.57016
5883.53472,5761.3248
5569.28064,5778.78336
5481.98784,5601.39192
5691.49056,5478.09084
5918.45184,5272.48512
6581.87712,5394.69504
4451.9328,5831.15904
7509.98664,6796.368
6851.86128,7187.15916
6801.35616,6966.2772
6847.34076,6721.5456
6830.34984,6490.53144
6694.42248,6601.518
6252.65856,5486.976
6286.6404,6490.53144
5199.22152,5727.0312
6414.15024,6490.53144
7441.7112,6439.55868
7070.7168,7508.42784
8131.32432,8198.66448
7922.601,8189.62344
7492.99572,8230.464
7098.7752,7870.3812
6263.57016,7509.36312
5761.3248,6523.11036
5778.78336,5953.36896
5601.39192,5671.84968
5478.09084,5548.5486
5272.48512,5671.84968
5394.69504,5848.6176
5831.15904,6459.6672
6796.368,6826.29696
7187.15916,6878.67264
6966.2772,6581.87712
6721.5456,5657.97636
6490.53144,6507.52236
6601.518,6354.60408
5486.976,6388.58592
6490.53144,6014.78568
5727.0312,6116.7312
6490.53144,6031.7766
6439.55868,6099.74028
7508.42784,7340.07744
8198.66448,7917.76872
8189.62344,8019.71424
8230.464,7815.8232
7870.3812,6711.4134
7509.36312,6371.595
6523.11036,6550.0776
5953.36896,5984.2332
5671.84968,5761.79244
5548.5486,5675.27904
5671.84968,5656.57344
5848.6176,5604.19776
6459.6672,5915.646
6826.29696,7390.2708
6878.67264,7071.96384
6581.87712,6538.23072
5657.97636,6464.65536
6507.52236,6767.68608
6354.60408,5471.388
6388.58592,5709.8844
6014.78568,5536.8576
6116.7312,5536.8576
6031.7766,5069.68524
6099.74028,4913.96112
7340.07744,7098.7752
7917.76872,8213.3172
8019.71424,8299.0512
7815.8232,8058.996
6711.4134,7716.06
6371.595,6652.9584
6550.0776,6207.1416
5984.2332,5847.99408
5761.79244,5425.24752
5675.27904,5337.17532
5656.57344,5390.01864
5604.19776,5583.77748
5915.646,6180.33024
7390.2708,6292.8756
7071.96384,6575.48604
6538.23072,6633.00576
6464.65536,6750.85104
6767.68608,6565.6656
5471.388,6252.65856
5709.8844,6150.71304
5536.8576,6065.75844
5536.8576,6133.72212
5069.68524,6031.7766
4913.96112,5369.13072
7098.7752,7102.20456
8213.3172,7201.656
8299.0512,7510.2984
8058.996,8054.4304
7716.06,5028.06528
6652.9584,6686.62848
6207.1416,6005.74464
5847.99408,5534.36352
5425.24752,5301.94644
5337.17532,5178.64536
5390.01864,5301.94644
5583.77748,5513.31972
6180.33024,5597.6508
6292.8756,6656.8554
6575.48604,6279.46992
6633.00576,6060.6144
6750.85104,6581.87712
6565.6656,6507.2106
6252.65856,6614.7678
6150.71304,6632.694
6065.75844,6184.07136
6133.72212,6075.57888
6031.7766,5967.0864
5369.13072,6127.95456
7102.20456,7441.08768
7201.656,8115.8922
7510.2984,7390.2708
8054.4304,6546.96
5028.06528,6677.43156
6686.62848,6422.56776
6005.74464,5518.152
5534.36352,5534.36352
5301.94644,5220.10944
5178.64536,4905.85536
5301.94644,4958.23104
5513.31972,5150.2752
5597.6508,5335.14888
6656.8554,6116.7312
6279.46992,5854.38516
6060.6144,6320.62224
6581.87712,6422.56776
6507.2106,5161.1868
6614.7678,5246.9208
6632.694,6241.4352
6184.07136,5831.00316
6075.57888,5658.444
5967.0864,5692.7376
6127.95456,5812.7652
7441.08768,6500.81952
8115.8922,7442.02296
7390.2708,7353.639
6546.96,6972.98004
6677.43156,6540.41304
6422.56776,5656.57344
5518.152,5743.86624
5534.36352,4870.93824
5220.10944,4731.26976
4905.85536,4597.36884
4958.23104,4456.45332
5150.2752,4791.12768
5335.14888,5178.64536
6116.7312,5827.88556
5854.38516,5199.22152
6320.62224,6439.55868
6422.56776,6550.0776
5161.1868,6430.05
5246.9208,6371.595
6241.4352,6235.66764
5831.00316,5847.0588
5658.444,5607.0036
5692.7376,5589.8568
5812.7652,5761.3248
6500.81952,7201.656
7442.02296,7102.20456
7353.639,7287.39
6972.98004,7232.52024
6540.41304,6567.2244
5656.57344,5952.12192
5743.86624,5363.8308
4870.93824,5324.8608
4731.26976,4967.27208
4597.36884,4932.0432
4456.45332,4797.9864
4791.12768,5011.23024
5178.64536,5294.62008
5827.88556,5935.9104
5199.22152,6378.6096
6439.55868,6395.7564
6550.0776,5287.4496
6430.05,5832.71784
6371.595,5270.61456
6235.66764,5097.276
5847.0588,7630.48188
5607.0036,7153.17732
5589.8568,6626.4588
5761.3248,7493.1516
7201.656,7047.3348
7102.20456,6073.24068
7287.39,5727.18708
7232.52024,5484.94956
6567.2244,5412.1536
5952.12192,5307.40224
5363.8308,5255.02656
5324.8608,5272.48512
4967.27208,5246.9208
4932.0432,5437.0944
4797.9864,5673.40848
5011.23024,5687.59356
5294.62008,5821.02684
5935.9104,5799.67128
6378.6096,5606.06832
6395.7564,5808.0888
5287.4496,5454.55296
5832.71784,5454.08532
5270.61456,5415.73884
5097.276,5571.46296
7630.48188,6505.80768
7153.17732,6881.3226
6626.4588,7102.20456
7493.1516,7013.0412
7047.3348,6841.5732
6073.24068,6310.0224
5727.18708,5589.8568
5484.94956,5315.508
5412.1536,5156.19864
5307.40224,4923.31392
5255.02656,5150.2752
5272.48512,5132.81664
5246.9208,5303.0376
5437.0944,6077.44944
5673.40848,5959.60416
5687.59356,6021.17676
5821.02684,5954.46012
5799.67128,5148.24876
5606.06832,5301.16704
5808.0888,5301.16704
5454.55296,4585.2102
5454.08532,4886.838
5415.73884,4818.2508
5571.46296,4886.838
6505.80768,7000.25904
6881.3226,7204.15008
7102.20456,7081.6284
7013.0412,7102.20456
6841.5732,7051.2318
6310.0224,5878.85832
5589.8568,5335.14888
5315.508,5394.69504
5156.19864,5185.19232
4923.31392,4983.17184
5150.2752,4152.6432
5132.81664,4663.9296
5303.0376,4848.49152
6077.44944,5824.92384
5959.60416,6048.76752
6021.17676,6207.1416
5954.46012,5551.82208
5148.24876,5980.80384
5301.16704,5720.95188
5301.16704,5622.90336
4585.2102,5707.07856
4886.838,5929.83108
4818.2508,5810.89464
4886.838,6224.2884
7000.25904,5932.7928
7204.15008,7218.8028
7081.6284,6765.34788
7102.20456,6869.16396
7051.2318,6350.08356
5878.85832,6021.33264
5335.14888,5604.19776
5394.69504,5429.61216
5185.19232,5202.65088
4983.17184,4896.81432
4152.6432,4703.05548
